Brand,Year,Gender,Seller_Type,Transmission,Owner,Mileage,Engine_CC,Power_bhp,Price
Audi,2006,Male,Dealer,Manual,First Owner,22.65,2172,67.7,721440
Toyota,2013,Female,Dealer,Automatic,Second Owner,17.41,2925,61,760254
Ford,2016,Male,Dealer,Manual,Second Owner,18.12,3305,127.7,830788
Audi,2017,Female,Trustmark Dealer,Automatic,First Owner,11.98,3433,96.6,649891
Honda,2012,Male,Individual,Automatic,First Owner,22.07,844,104.6,754031
Ford,2019,Male,Dealer,Automatic,Fourth & Above Owner,20.51,2885,86.6,326558
Ford,2019,Female,Trustmark Dealer,Automatic,Second Owner,20.23,1215,,649201
Audi,2020,Female,Dealer,Automatic,Third Owner,14.75,3092,113.3,457098
Hyundai,2017,Female,Trustmark Dealer,Automatic,Third Owner,14.91,3340,65.1,231051
Honda,2003,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,18.89,3170,96.6,447257
Audi,2000,Male,Individual,Manual,Fourth & Above Owner,15.22,2075,107.4,680837
Honda,2017,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,19.74,3315,128.6,730739
Honda,2000,Female,Individual,Manual,Second Owner,9.36,1884,138.7,219462
Ford,2012,Male,Dealer,Manual,First Owner,16.05,1942,91.7,318697
Toyota,2019,Male,Individual,Automatic,First Owner,25.19,886,118.5,817397
Honda,2019,Female,Dealer,Automatic,Fourth & Above Owner,19.76,2927,23.2,752444
BMW,2022,Female,Dealer,Manual,Second Owner,18.67,1027,128.8,866131
Ford,2009,Male,Individual,Manual,Third Owner,25.94,3330,71.9,1010349
Hyundai,2010,Female,Dealer,Automatic,Fourth & Above Owner,,2638,84,761366
Toyota,2008,Male,Dealer,Automatic,Second Owner,14.74,1422,101,475558
BMW,2008,Female,Dealer,Manual,Fourth & Above Owner,16.4,2406,86.2,634455
BMW,2004,Male,Dealer,Manual,Second Owner,21.43,1284,94.9,1097969
Hyundai,2000,Female,Trustmark Dealer,Automatic,Second Owner,21.5,,129.7,1429335
Toyota,2016,Female,Trustmark Dealer,Manual,Fourth & Above Owner,14.54,2614,80.4,738929
Ford,2021,Female,Individual,Manual,First Owner,21.99,2025,62.8,760666
Maruti,2001,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,16.39,2048,135.3,817713
Toyota,2012,Male,Trustmark Dealer,Manual,First Owner,22.85,1578,103.2,607138
Hyundai,2008,Male,Trustmark Dealer,Automatic,First Owner,13.87,1730,138.1,949156
BMW,2003,Male,Trustmark Dealer,Automatic,Third Owner,17.51,2402,111.6,902414
Ford,2004,Male,Trustmark Dealer,Automatic,Second Owner,16.04,2382,,706313
Toyota,2010,Female,Trustmark Dealer,Manual,Fourth & Above Owner,22.22,1552,,504594
Maruti,2018,Male,Individual,Automatic,Second Owner,15.91,2513,65.4,143791
Maruti,2020,Female,Individual,Manual,Third Owner,17.83,1900,90.2,819724
Honda,2002,Male,Individual,Automatic,First Owner,20.03,1225,88.1,663857
Honda,2011,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,20.18,1459,49.6,378670
Audi,2018,Male,Trustmark Dealer,Manual,Second Owner,21.55,2317,69.7,261024
Hyundai,2018,Female,Trustmark Dealer,Manual,Third Owner,18.84,1346,145.1,798430
Toyota,2012,Male,Dealer,Manual,First Owner,16.33,1900,96,119629
Toyota,2006,Female,Trustmark Dealer,Automatic,First Owner,16.6,2902,,689892
Audi,2014,Female,Individual,Manual,Second Owner,18.1,2296,135.3,853065
BMW,2022,Male,Dealer,Automatic,First Owner,19,2262,,764968
BMW,2006,Male,Dealer,Manual,Third Owner,17.41,2535,87.7,482778
Audi,2007,Female,Trustmark Dealer,Automatic,First Owner,18.08,2571,114.8,225188
BMW,2004,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,11.93,3161,80,776106
Honda,2020,Male,Individual,Automatic,Fourth & Above Owner,20.67,2143,71.3,960157
Toyota,2013,Female,Individual,Automatic,Second Owner,18.72,3067,33.7,428180
Audi,2003,Female,Trustmark Dealer,Manual,Third Owner,22.01,2194,66.6,752072
Toyota,2022,Female,Individual,Manual,First Owner,18,2039,66.3,1074455
Maruti,2009,Male,Individual,Automatic,First Owner,11.05,848,94,701654
Honda,2019,Male,Trustmark Dealer,Automatic,First Owner,16.57,2620,74.7,480936
Ford,2014,Female,Individual,Manual,Fourth & Above Owner,17.2,3310,144,912256
Honda,2017,Male,Dealer,Manual,Third Owner,20.97,2965,63.6,378732
Audi,2019,Male,Dealer,Manual,First Owner,9.72,,125,210542
Ford,2012,Male,Individual,Manual,Second Owner,18.16,2546,95.5,843696
Maruti,2007,Female,Dealer,Manual,Third Owner,20.05,1295,,478151
Audi,2008,Male,Individual,Manual,Third Owner,15.35,1433,108.7,505044
Hyundai,2015,Male,Dealer,Automatic,First Owner,,1401,34.5,411918
Toyota,2018,Female,Individual,Manual,Fourth & Above Owner,15.49,975,89.7,458155
Maruti,2015,Male,Trustmark Dealer,Manual,Third Owner,15.08,1438,83.4,1020910
Toyota,2006,Female,Individual,Automatic,Second Owner,16.37,1096,,1098750
BMW,2013,Male,Trustmark Dealer,Manual,Third Owner,15.16,2083,101.5,1138494
Hyundai,2013,Male,Individual,Manual,Fourth & Above Owner,20.73,2674,132.9,927036
Hyundai,2003,Female,Individual,Manual,Second Owner,15.06,1274,23.2,739881
Maruti,2014,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,14.39,2446,76.6,170314
Hyundai,2002,Female,Dealer,Manual,First Owner,25.07,2758,58.9,543743
Ford,2004,Male,Trustmark Dealer,Automatic,Third Owner,21.84,3383,91.8,1247026
Hyundai,2000,Male,Dealer,Manual,Second Owner,10.55,1860,81.9,469314
Toyota,2002,Female,Individual,Automatic,Fourth & Above Owner,14.94,2588,74.9,1054243
Toyota,2014,Female,Dealer,Manual,First Owner,18.97,824,107.2,616511
Audi,2007,Male,Individual,Manual,Second Owner,19.3,1148,130.9,-203443
Toyota,2003,Male,Trustmark Dealer,Manual,Third Owner,12.04,1436,156.5,792146
Audi,2001,Female,Dealer,Automatic,Third Owner,22.63,1026,71.5,979876
Toyota,2009,Male,Individual,Manual,Fourth & Above Owner,21.3,2171,44.5,585301
Ford,2003,Female,Dealer,Manual,Second Owner,19.93,837,104,969915
Audi,2002,Male,Trustmark Dealer,Automatic,First Owner,23.43,2206,130.3,99652
Honda,2001,Male,Individual,Automatic,First Owner,19.81,3417,110.3,184331
BMW,2016,Male,Trustmark Dealer,Automatic,First Owner,19.79,3083,130.2,661459
Maruti,2022,Male,Individual,Manual,Fourth & Above Owner,24.23,2004,84.4,743134
Toyota,2020,Male,Dealer,Automatic,First Owner,22.4,,74.8,1006974
Hyundai,2019,Female,Dealer,Manual,Second Owner,14.63,3153,92.9,791677
Toyota,2022,Female,Dealer,Automatic,Fourth & Above Owner,20.53,2979,81.7,241911
Hyundai,2012,Female,Dealer,Automatic,Third Owner,15.34,1147,106.6,663914
BMW,2004,Female,Trustmark Dealer,Manual,Fourth & Above Owner,20.02,2003,114.2,780218
BMW,2020,Female,Individual,Manual,Fourth & Above Owner,19.91,3262,116.2,37730
BMW,2008,Female,Dealer,Manual,Fourth & Above Owner,12.47,1782,102.8,586910
Hyundai,2021,Male,Dealer,Manual,Second Owner,17.51,1531,96.1,499325
Toyota,2005,Female,Dealer,Automatic,Third Owner,19.06,3232,109.9,403592
BMW,2004,Male,Dealer,Automatic,Third Owner,16.25,3359,40.9,749633
Ford,2009,Female,Individual,Automatic,Fourth & Above Owner,,1866,95.3,255096
Audi,2007,Female,Dealer,Manual,Fourth & Above Owner,21.22,2303,91.3,725064
Hyundai,2006,Female,Individual,Manual,Fourth & Above Owner,17.88,1941,95.3,767847
Hyundai,2006,Male,Trustmark Dealer,Automatic,Second Owner,18.9,2394,87.8,925129
Toyota,2005,Male,Dealer,Automatic,Second Owner,23.53,2908,,262974
Hyundai,2020,Male,Dealer,Manual,First Owner,19.89,3400,75.6,148430
Hyundai,2019,Female,Trustmark Dealer,Automatic,Third Owner,18.8,2609,118.2,683671
BMW,2002,Female,Trustmark Dealer,Automatic,First Owner,14.17,3035,101.8,514119
